id,latency,start,end,client
46,77.5625,1685120264247.7537,1685120264325.3162,ThreadPoolExecutor-2_0
47,78.085693359375,1685120264261.8196,1685120264339.9053,ThreadPoolExecutor-2_7
48,77.68701171875,1685120264264.5415,1685120264342.2285,ThreadPoolExecutor-2_9
49,78.1904296875,1685120264266.6858,1685120264344.8762,ThreadPoolExecutor-2_5
50,85.00341796875,1685120264269.6833,1685120264354.6868,ThreadPoolExecutor-2_8
51,74.871337890625,1685120264283.2573,1685120264358.1287,ThreadPoolExecutor-2_3
52,78.656494140625,1685120264280.2803,1685120264358.9368,ThreadPoolExecutor-2_4
53,73.851318359375,1685120264298.969,1685120264372.8203,ThreadPoolExecutor-2_1
54,73.062255859375,1685120264304.3403,1685120264377.4026,ThreadPoolExecutor-2_6
55,75.102783203125,1685120264305.374,1685120264380.4768,ThreadPoolExecutor-2_2
56,75.69873046875,1685120264325.3464,1685120264401.0452,ThreadPoolExecutor-2_0
57,75.21875,1685120264339.9355,1685120264415.1543,ThreadPoolExecutor-2_7
58,73.4873046875,1685120264344.8965,1685120264418.3838,ThreadPoolExecutor-2_5
59,78.815673828125,1685120264342.2498,1685120264421.0654,ThreadPoolExecutor-2_9
60,81.16357421875,1685120264354.7263,1685120264435.89,ThreadPoolExecutor-2_8
61,80.3310546875,1685120264358.1548,1685120264438.4858,ThreadPoolExecutor-2_3
62,81.90234375,1685120264358.957,1685120264440.8594,ThreadPoolExecutor-2_4
63,75.659912109375,1685120264372.86,1685120264448.52,ThreadPoolExecutor-2_1
64,76.02294921875,1685120264377.4365,1685120264453.4595,ThreadPoolExecutor-2_6
65,75.14453125,1685120264380.5186,1685120264455.663,ThreadPoolExecutor-2_2
66,79.835205078125,1685120264401.1104,1685120264480.9456,ThreadPoolExecutor-2_0
67,75.62158203125,1685120264415.2263,1685120264490.848,ThreadPoolExecutor-2_7
68,74.75146484375,1685120264418.4385,1685120264493.19,ThreadPoolExecutor-2_5
69,77.533447265625,1685120264421.12,1685120264498.6536,ThreadPoolExecutor-2_9
70,79.00439453125,1685120264435.9526,1685120264514.957,ThreadPoolExecutor-2_8
71,78.742431640625,1685120264440.9177,1685120264519.6602,ThreadPoolExecutor-2_4
72,83.55615234375,1685120264438.5356,1685120264522.0918,ThreadPoolExecutor-2_3
73,75.692138671875,1685120264448.5745,1685120264524.2666,ThreadPoolExecutor-2_1
74,76.3583984375,1685120264455.6926,1685120264532.051,ThreadPoolExecutor-2_2
75,80.90380859375,1685120264453.4924,1685120264534.3962,ThreadPoolExecutor-2_6
76,76.552734375,1685120264481.0107,1685120264557.5635,ThreadPoolExecutor-2_0
77,79.0986328125,1685120264493.2346,1685120264572.3333,ThreadPoolExecutor-2_5
78,83.9990234375,1685120264490.9126,1685120264574.9116,ThreadPoolExecutor-2_7
79,78.45458984375,1685120264498.717,1685120264577.1716,ThreadPoolExecutor-2_9
80,84.74560546875,1685120264515.028,1685120264599.7737,ThreadPoolExecutor-2_8
81,82.44775390625,1685120264519.7092,1685120264602.157,ThreadPoolExecutor-2_4
82,82.168701171875,1685120264522.145,1685120264604.3137,ThreadPoolExecutor-2_3
83,82.63916015625,1685120264524.319,1685120264606.9583,ThreadPoolExecutor-2_1
84,82.4638671875,1685120264532.1213,1685120264614.5852,ThreadPoolExecutor-2_2
85,82.431640625,1685120264534.4456,1685120264616.8772,ThreadPoolExecutor-2_6
86,76.745849609375,1685120264557.6387,1685120264634.3845,ThreadPoolExecutor-2_0
87,72.276611328125,1685120264572.3997,1685120264644.6763,ThreadPoolExecutor-2_5
88,75.010498046875,1685120264577.2134,1685120264652.2239,ThreadPoolExecutor-2_9
89,79.62548828125,1685120264574.9583,1685120264654.5837,ThreadPoolExecutor-2_7
90,82.84326171875,1685120264599.8362,1685120264682.6794,ThreadPoolExecutor-2_8
91,83.138671875,1685120264602.2036,1685120264685.3423,ThreadPoolExecutor-2_4
