id,latency,start,end,client
74,70.346923828125,1685120260707.6597,1685120260778.0066,ThreadPoolExecutor-1_6
75,72.796142578125,1685120260729.894,1685120260802.6902,ThreadPoolExecutor-1_8
76,74.00927734375,1685120260729.2874,1685120260803.2966,ThreadPoolExecutor-1_4
77,74.01220703125,1685120260731.1553,1685120260805.1675,ThreadPoolExecutor-1_1
78,75.32373046875,1685120260731.766,1685120260807.0898,ThreadPoolExecutor-1_5
79,70.971435546875,1685120260756.517,1685120260827.4885,ThreadPoolExecutor-1_3
80,73.232177734375,1685120260754.8708,1685120260828.103,ThreadPoolExecutor-1_2
81,72.525634765625,1685120260757.3008,1685120260829.8264,ThreadPoolExecutor-1_7
82,73.435546875,1685120260760.082,1685120260833.5176,ThreadPoolExecutor-1_9
83,67.43896484375,1685120260776.9385,1685120260844.3774,ThreadPoolExecutor-1_0
84,69.546875,1685120260778.0361,1685120260847.583,ThreadPoolExecutor-1_6
85,69.15234375,1685120260803.3213,1685120260872.4736,ThreadPoolExecutor-1_4
86,72.9189453125,1685120260802.7253,1685120260875.6443,ThreadPoolExecutor-1_8
87,77.3330078125,1685120260807.1138,1685120260884.4468,ThreadPoolExecutor-1_5
88,79.80810546875,1685120260805.1953,1685120260885.0034,ThreadPoolExecutor-1_1
89,68.858642578125,1685120260828.1292,1685120260896.9878,ThreadPoolExecutor-1_2
90,73.021484375,1685120260827.521,1685120260900.5425,ThreadPoolExecutor-1_3
91,71.588623046875,1685120260829.8513,1685120260901.44,ThreadPoolExecutor-1_7
92,80.51123046875,1685120260833.5437,1685120260914.055,ThreadPoolExecutor-1_9
93,72.1953125,1685120260847.6165,1685120260919.8118,ThreadPoolExecutor-1_6
94,69.579833984375,1685120260872.508,1685120260942.088,ThreadPoolExecutor-1_4
95,99.056884765625,1685120260844.41,1685120260943.4668,ThreadPoolExecutor-1_0
96,68.499755859375,1685120260875.6724,1685120260944.172,ThreadPoolExecutor-1_8
97,71.417724609375,1685120260885.026,1685120260956.4436,ThreadPoolExecutor-1_1
98,72.6455078125,1685120260884.4727,1685120260957.1182,ThreadPoolExecutor-1_5
99,68.208984375,1685120260897.0205,1685120260965.2295,ThreadPoolExecutor-1_2
100,74.010498046875,1685120260900.574,1685120260974.5845,ThreadPoolExecutor-1_3
101,74.11328125,1685120260901.4688,1685120260975.582,ThreadPoolExecutor-1_7
102,71.100341796875,1685120260914.089,1685120260985.1895,ThreadPoolExecutor-1_9
103,68.5703125,1685120260919.8428,1685120260988.413,ThreadPoolExecutor-1_6
104,72.14306640625,1685120260942.1226,1685120261014.2656,ThreadPoolExecutor-1_4
105,71.8818359375,1685120260943.4976,1685120261015.3794,ThreadPoolExecutor-1_0
106,71.80517578125,1685120260944.2083,1685120261016.0134,ThreadPoolExecutor-1_8
107,69.551025390625,1685120260957.1477,1685120261026.6987,ThreadPoolExecutor-1_5
108,72.218994140625,1685120260956.4817,1685120261028.7007,ThreadPoolExecutor-1_1
109,69.634765625,1685120260965.283,1685120261034.9177,ThreadPoolExecutor-1_2
110,68.006103515625,1685120260974.6248,1685120261042.6309,ThreadPoolExecutor-1_3
111,69.417236328125,1685120260975.6147,1685120261045.032,ThreadPoolExecutor-1_7
112,68.841552734375,1685120260985.2146,1685120261054.0562,ThreadPoolExecutor-1_9
113,69.868408203125,1685120260988.446,1685120261058.3145,ThreadPoolExecutor-1_6
114,69.9677734375,1685120261014.325,1685120261084.2927,ThreadPoolExecutor-1_4
115,72.838623046875,1685120261015.4067,1685120261088.2454,ThreadPoolExecutor-1_0
116,72.849609375,1685120261016.048,1685120261088.8977,ThreadPoolExecutor-1_8
117,70.35791015625,1685120261026.7324,1685120261097.0903,ThreadPoolExecutor-1_5
118,70.736328125,1685120261028.7217,1685120261099.458,ThreadPoolExecutor-1_1
119,75.4140625,1685120261045.054,1685120261120.468,ThreadPoolExecutor-1_7
120,86.21142578125,1685120261034.9705,1685120261121.182,ThreadPoolExecutor-1_2
121,79.302490234375,1685120261042.656,1685120261121.9585,ThreadPoolExecutor-1_3
122,69.841064453125,1685120261054.1,1685120261123.9412,ThreadPoolExecutor-1_9
